Part Type,Part Number,Schematic Part,Part Value,Type,Absolute Pull Range (APR),Base Resonator,Current - Supply (Max),Frequency,Frequency Stability,Function,Output,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Height - Seated (Max),Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Oscillator,ASDMB-80.000MHZ-XY-T,oscillators\MEMS_Crystal_4P_1S3C,80MHz,XO (Standard),,MEMS,16mA,80MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 80.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 105°C,,Abracon LLC,,,
Oscillator,ASDMB-133.333MHZ-XY-T,oscillators\MEMS_Crystal_4P_1S3C,133.333MHz,XO (Standard),,MEMS,16mA,133.333MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 133.3330MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 105°C,,Abracon LLC,,,
Oscillator,ASDMB-150.000MHZ-XY-T,oscillators\MEMS_Crystal_4P_1S3C,150MHz,XO (Standard),,MEMS,16mA,150MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 150.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 105°C,,Abracon LLC,,,
Oscillator,ASDMB-75.000MHZ-XY-T,oscillators\MEMS_Crystal_4P_1S3C,75MHz,XO (Standard),,MEMS,16mA,75MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 75.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 105°C,,Abracon LLC,,,
Oscillator,ASDMB-54.000MHZ-EC-T,oscillators\MEMS_Crystal_4P_1S3C,54MHz,XO (Standard),,MEMS,16mA,54MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 54.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-20°C ~ 70°C,,Abracon LLC,,,
Oscillator,ASDMB-30.000MHZ-LY-T,oscillators\MEMS_Crystal_4P_1S3C,30MHz,XO (Standard),,MEMS,16mA,30MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 30.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-60.000MHZ-LY-T,oscillators\MEMS_Crystal_4P_1S3C,60MHz,XO (Standard),,MEMS,16mA,60MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 60.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-19.200MHZ-XY-T,oscillators\MEMS_Crystal_4P_1S3C,19.2MHz,XO (Standard),,MEMS,16mA,19.2MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 19.2000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 105°C,,Abracon LLC,,,
Oscillator,ASDMB-5.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,5MHz,XO (Standard),,MEMS,16mA,5MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 5.0000MHZ LVCMOS SMD,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-10.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,10MHz,XO (Standard),,MEMS,16mA,10MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 10.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-24.576MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,24.576MHz,XO (Standard),,MEMS,16mA,24.576MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 24.5760MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-26.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,26MHz,XO (Standard),,MEMS,15mA,26MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 26.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-3.6864MHZ-LY-T,oscillators\MEMS_Crystal_4P_1S3C,3.6864MHz,XO (Standard),,MEMS,16mA,3.6864MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 3.6864MHZ LVCMOS SMD,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-14.31818MHZ-LY-T,oscillators\MEMS_Crystal_4P_1S3C,14.31818MHz,XO (Standard),,MEMS,16mA,14.31818MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 14.31818MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-12.000MHZ-LY-T,oscillators\MEMS_Crystal_4P_1S3C,12MHz,XO (Standard),,MEMS,16mA,12MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 12.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-29.4912MHZ-LY-T,oscillators\MEMS_Crystal_4P_1S3C,29.4912MHz,XO (Standard),,MEMS,16mA,29.4912MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 29.4912MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-24.000MHZ-XY-T,oscillators\MEMS_Crystal_4P_1S3C,24MHz,XO (Standard),,MEMS,16mA,24MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 24.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 105°C,,Abracon LLC,,,
Oscillator,ASDMB-18.432MHZ-XY-T,oscillators\MEMS_Crystal_4P_1S3C,18.432MHz,XO (Standard),,MEMS,16mA,18.432MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 18.4320MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 105°C,,Abracon LLC,,,
Oscillator,ASDMB-24.576MHZ-XY-T,oscillators\MEMS_Crystal_4P_1S3C,24.576MHz,XO (Standard),,MEMS,16mA,24.576MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 24.5760MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 105°C,,Abracon LLC,,,
Oscillator,ASDMB-30.000MHZ-XY-T,oscillators\MEMS_Crystal_4P_1S3C,30MHz,XO (Standard),,MEMS,16mA,30MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 30.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 105°C,,Abracon LLC,,,
Oscillator,ASDMB-32.000MHZ-XY-T,oscillators\MEMS_Crystal_4P_1S3C,32MHz,XO (Standard),,MEMS,16mA,32MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 32.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 105°C,,Abracon LLC,,,
Oscillator,ASDMB-60.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,60MHz,XO (Standard),,MEMS,16mA,60MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 60.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-30.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,30MHz,XO (Standard),,MEMS,16mA,30MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 30.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-50.000MHZ-EC-T,oscillators\MEMS_Crystal_4P_1S3C,50MHz,XO (Standard),,MEMS,16mA,50MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 50.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-20°C ~ 70°C,,Abracon LLC,,,
Oscillator,ASDMB-24.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,24MHz,XO (Standard),,MEMS,16mA,24MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 24.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-25.000MHZ-LR-T,oscillators\MEMS_Crystal_4P_1S3C,25MHz,XO (Standard),,MEMS,16mA,25MHz,±25ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 25.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-26.000MHZ-LY-T,oscillators\MEMS_Crystal_4P_1S3C,26MHz,XO (Standard),,MEMS,16mA,26MHz,±10ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 26.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-50.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,50MHz,XO (Standard),,MEMS,16mA,50MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 50.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-12.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,12MHz,XO (Standard),,MEMS,16mA,12MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 12.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-20.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,20MHz,XO (Standard),,MEMS,16mA,20MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 20.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-27.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,27MHz,XO (Standard),,MEMS,16mA,27MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 27.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-48.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,48MHz,XO (Standard),,MEMS,16mA,48MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 48.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-16.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,16MHz,XO (Standard),,MEMS,16mA,16MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 16.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-8.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,8MHz,XO (Standard),,MEMS,16mA,8MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 8.0000MHZ LVCMOS SMD,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-33.333MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,33.333MHz,XO (Standard),,MEMS,16mA,33.333MHz,,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 33.3330MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-4.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,4MHz,XO (Standard),,MEMS,16mA,4MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 4.0000MHZ LVCMOS SMD,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-25.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,25MHz,XO (Standard),,MEMS,16mA,25MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 25.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-1.8432MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,1.8432MHz,XO (Standard),,MEMS,16mA,1.8432MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 1.8432MHZ LVCMOS SMD,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-3.6864MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,3.6864MHz,XO (Standard),,MEMS,16mA,3.6864MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 3.6864MHZ LVCMOS SMD,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-14.7456MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,14.7456MHz,XO (Standard),,MEMS,16mA,14.7456MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 14.7456MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-26.000MHZ-EC-T,oscillators\MEMS_Crystal_4P_1S3C,26MHz,XO (Standard),,MEMS,16mA,26MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 26.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-20°C ~ 70°C,,Abracon LLC,,,
