"Absolute Pull Range (APR)","Base Resonator","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Supply (Max)","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Frequency","Frequency Stability","Function","Height - Seated (Max)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Output","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Spread Spectrum Bandwidth","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Type","Value","Voltage - Supply"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 1.8432MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT32251.8432MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","1.8432","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 2MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT32252MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","2","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 2.048MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT32252.048MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","2.048","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 3.579545MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT32253.579545MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","3.579545","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 4MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT32254MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","4","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 4.096MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT32254.096MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","4.096","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 6MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT32256MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","6","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 8MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT32258MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","8","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 10MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322510MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","10","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 11.2896MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322511.2896MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","11.2896","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 12MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322512MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","12","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 12.288MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322512.288MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","12.288","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 13.56MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322513.56MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","13.56","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 14.31818MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322514.31818MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","14.31818","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 14.7456MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322514.7456MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","14.7456","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 16MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322516MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","16","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 18.432MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322518.432MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","18.432","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 20MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322520MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","20","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 22.1184MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322522.1184MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","22.1184","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 24MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322524MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","24","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 24.576MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322524.576MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","24.576","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 25MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322525MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","25","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 26MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322526MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","26","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 27MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322527MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","27","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 30MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322530MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","30","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 32MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322532MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","32","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 33.3333MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322533.3333MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","33.3333","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 37.125MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322537.125MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","37.125","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 38.4MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322538.4MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","38.4","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 40MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322540MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","40","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 48MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322548MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","48","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 50MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322550MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","50","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 54MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322554MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","54","1.8V ~ 3.3V"
