Part Type,Part Number,Schematic Part,Part Value,Color,CCT (K),CRI (Color Rendering Index),Current - Max,Current - Test,"Flux @ 25°C, Current - Test","Flux @ 85°C, Current - Test",Lumens/Watt @ Current - Test,Viewing Angle,Voltage - Forward (Vf) (Typ),Layout PCB Footprint,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Height - Seated (Max),Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
LED,MP-3030-1100-56-95,diodes\Diode_LED,,"White, Cool",5600K,95,240mA,150mA,60lm (Typ),,133 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 5600K 95CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-27-80,diodes\Diode_LED,,"White, Warm",2700K,80,240mA,150mA,60lm (Typ),,133 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 2700K 80CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-27-95,diodes\Diode_LED,,"White, Warm",2700K,95,240mA,150mA,50lm (Typ),,111 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 2700K 95CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-30-95,diodes\Diode_LED,,"White, Warm",3000K,95,240mA,150mA,50lm (Typ),,111 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 3000K 95CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-50-70,diodes\Diode_LED,,"White, Cool",5000K,70,240mA,150mA,71lm (Typ),,158 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 5000K 70CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-57-80,diodes\Diode_LED,,"White, Cool",5700K,70,240mA,150mA,67lm (Typ),,149 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 5700K 80CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-27-90,diodes\Diode_LED,,"White, Warm",2700K,90,240mA,150mA,55lm (Typ),,122 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 2700K 90CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-35-90,diodes\Diode_LED,,"White, Warm",3500K,90,240mA,150mA,58lm (Typ),,129 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 3500K 90CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-50-80,diodes\Diode_LED,,"White, Cool",5000K,80,240mA,150mA,67lm (Typ),,149 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 5000K 80CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-40-90,diodes\Diode_LED,,"White, Neutral",4000K,90,240mA,150mA,60lm (Typ),,133 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 4000K 90CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-40-70,diodes\Diode_LED,,"White, Neutral",4000K,70,240mA,150mA,73lm (Typ),,162 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 4000K 70CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-35-80,diodes\Diode_LED,,"White, Warm",3500K,80,240mA,150mA,64lm (Typ),,142 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 3500K 80CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-30-80,diodes\Diode_LED,,"White, Warm",3000K,80,240mA,150mA,62lm (Typ),,138 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 3000K 80CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-40-80,diodes\Diode_LED,,"White, Neutral",4000K,80,240mA,150mA,67lm (Typ),,149 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 4000K 80CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-40-95,diodes\Diode_LED,,"White, Neutral",4000K,95,240mA,150mA,54lm (Typ),,120 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 4000K 95CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-57-70,diodes\Diode_LED,,"White, Cool",5700K,70,240mA,150mA,78lm (Typ),,173 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 5700K 70CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-22-80,diodes\Diode_LED,,"White, Warm",2200K,80,240mA,150mA,55lm (Typ),,122 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 2200K 80CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,MP-3030-1100-30-90,diodes\Diode_LED,,"White, Warm",3000K,90,240mA,150mA,56lm (Typ),,124 lm/W,110°,3V,,,1212 (3030 Metric),,,,https://download.luminus.com/datasheets/Luminus_MP3030_1100_Datasheet.pdf,LED MID PWR 3000K 90CRI 3030,Surface Mount,0.020 (0.52mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Luminus Devices Inc.,,,
LED,JE2835AWT-00-0000-000A0ZF730E,diodes\Diode_LED,,,3000K,95,240mA,150mA,55lm (Typ),,122 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHT 95 CRI 3000K JE2835 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0ZF627E,diodes\Diode_LED,,,2700K,95,240mA,150mA,50lm (Typ),,111 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHT 95 CRI 2700K JE2835 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0ZF940E,diodes\Diode_LED,,,4000K,95,240mA,150mA,60lm (Typ),,133 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHT 95 CRI 4000K JE2835 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0UF957E,diodes\Diode_LED,,,5700K,90,240mA,150mA,64lm (Typ),,142 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0UF965E,diodes\Diode_LED,,,6500K,90,240mA,150mA,64lm (Typ),,142 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0HG965E,diodes\Diode_LED,,,6500K,80,240mA,150mA,75lm (Typ),,167 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0UF940E,diodes\Diode_LED,,,4000K,90,240mA,150mA,64lm (Typ),,142 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0UF950E,diodes\Diode_LED,,,5000K,90,240mA,150mA,64lm (Typ),,142 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0BH665E,diodes\Diode_LED,,,6500K,70,240mA,150mA,80lm (Typ),,178 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0HG950E,diodes\Diode_LED,,,5000K,80,240mA,150mA,75lm (Typ),,167 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0UF827E,diodes\Diode_LED,,,2700K,90,240mA,150mA,58lm (Typ),,129 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JB2835AWT-W-U30GA0000-N0000001,diodes\Diode_LED,,,3000K 3-Step MacAdam Ellipse,90,150mA,60mA,24lm (Typ),22lm (Typ),136 lm/W,120°,2.95V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  3000K JB2835 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JB2835AWT-W-U35GA0000-N0000001,diodes\Diode_LED,,,3500K 3-Step MacAdam Ellipse,90,150mA,60mA,25lm (Typ),22lm (Typ),140 lm/W,120°,2.95V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  3500K JB2835 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JB2835AWT-W-H30GA0000-N0000001,diodes\Diode_LED,,,3000K 3-Step MacAdam Ellipse,80,150mA,60mA,29lm (Typ),26lm (Typ),164 lm/W,120°,2.95V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  3000K JB2835 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JB2835AWT-W-H40GA0000-N0000001,diodes\Diode_LED,,,4000K 3-Step MacAdam Ellipse,80,150mA,60mA,30lm (Typ),27lm (Typ),169 lm/W,120°,2.95V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  4000K JB2835 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JB2835AWT-W-H35GA0000-N0000001,diodes\Diode_LED,,,3500K 3-Step MacAdam Ellipse,80,150mA,60mA,29lm (Typ),26lm (Typ),164 lm/W,120°,2.95V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  3500K JB2835 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JK2835AWT-P-H57EB0000-N0000001,diodes\Diode_LED,,,5700K,80,200mA,150mA,144lm (Typ),,155 lm/W,120°,6.2V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,CREE J SERIES JK2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JK2835BWT-W-U35EB0000-N0000001,diodes\Diode_LED,,,3500K 3-Step MacAdam Ellipse,90,200mA,150mA,113lm (Typ),99lm (Typ),119 lm/W,120°,6.35V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,LED WHITE  3500K JK2835B 6V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JK2835BWT-W-U40EB0000-N0000001,diodes\Diode_LED,,,4000K 3-Step MacAdam Ellipse,90,200mA,150mA,118lm (Typ),103lm (Typ),124 lm/W,120°,6.35V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,LED WHITE  4000K JK2835B 6V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JK2835BWT-W-U30EB0000-N0000001,diodes\Diode_LED,,,3000K 3-Step MacAdam Ellipse,90,200mA,150mA,111lm (Typ),97lm (Typ),117 lm/W,120°,6.35V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,LED WHITE  3000K JK2835B 6V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JK2835BWT-W-H40EB0000-N0000001,diodes\Diode_LED,,,4000K 3-Step MacAdam Ellipse,80,200mA,150mA,137lm (Typ),120lm (Typ),144 lm/W,120°,6.35V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,LED WHITE  4000K JK2835B 6V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JK2835BWT-W-H30EB0000-N0000001,diodes\Diode_LED,,,3000K 3-Step MacAdam Ellipse,80,200mA,150mA,131lm (Typ),115lm (Typ),138 lm/W,120°,6.35V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,LED WHITE  3000K JK2835B 6V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JK2835BWT-W-H35EB0000-N0000001,diodes\Diode_LED,,,3500K 3-Step MacAdam Ellipse,80,200mA,150mA,133lm (Typ),117lm (Typ),140 lm/W,120°,6.35V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,LED WHITE  3500K JK2835B 6V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0UF945E,diodes\Diode_LED,,,4500K,90,240mA,150mA,64lm (Typ),,142 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0UF835E,diodes\Diode_LED,,,3500K,90,240mA,150mA,61lm (Typ),,136 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835BWT-P-U30GA0000-N0000001,diodes\Diode_LED,,,3000K 3-Step MacAdam Ellipse,90,240mA,150mA,60lm (Typ),54lm (Typ),133 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  3000K JE2835B 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835BWT-P-U35GA0000-N0000001,diodes\Diode_LED,,,3500K 3-Step MacAdam Ellipse,90,240mA,150mA,62lm (Typ),56lm (Typ),138 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  3500K JE2835B 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0UF830E,diodes\Diode_LED,,,3000K,90,240mA,150mA,59lm (Typ),,131 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0HG940E,diodes\Diode_LED,,,4000K,80,240mA,150mA,75lm (Typ),,167 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0HG830E,diodes\Diode_LED,,,3000K,80,240mA,150mA,70lm (Typ),,156 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0HG727E,diodes\Diode_LED,,,2700K,80,240mA,150mA,69lm (Typ),,153 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0BH640E,diodes\Diode_LED,,,4000K,70,240mA,150mA,79lm (Typ),,176 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0BG935E,diodes\Diode_LED,,,3500K,70,240mA,150mA,76lm (Typ),,169 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0BG930E,diodes\Diode_LED,,,3000K,70,240mA,150mA,74lm (Typ),,164 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0BG827E,diodes\Diode_LED,,,2700K,70,240mA,150mA,72lm (Typ),,160 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-00-0000-000A0HG835E,diodes\Diode_LED,,,3500K,80,240mA,150mA,72lm (Typ),,160 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,CREE J SERIES JE2835 LIGHT EMITT,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835BWT-P-H30GA0000-N0000001,diodes\Diode_LED,,,3000K 3-Step MacAdam Ellipse,80,240mA,150mA,72lm (Typ),55lm (Typ),160 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  3000K JE2835B 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835BWT-P-H35GA0000-N0000001,diodes\Diode_LED,,,3500K 3-Step MacAdam Ellipse,80,240mA,150mA,74lm (Typ),67lm (Typ),164 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  3500K JE2835B 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-R-U30GA0000-N0000001,diodes\Diode_LED,,,3000K 3-Step MacAdam Ellipse,90,240mA,150mA,57lm (Typ),49lm (Typ),129 lm/W,120°,2.95V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  3000K JE2835 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-R-U40GA0000-N0000001,diodes\Diode_LED,,,4000K 3-Step MacAdam Ellipse,90,240mA,150mA,62lm (Typ),53lm (Typ),140 lm/W,120°,2.95V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  4000K JE2835 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-R-U35GA0000-N0000001,diodes\Diode_LED,,,3500K 3-Step MacAdam Ellipse,90,240mA,150mA,59lm (Typ),50lm (Typ),133 lm/W,120°,2.95V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  3500K JE2835 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-R-H30GA0000-N0000001,diodes\Diode_LED,,,3000K 3-Step MacAdam Ellipse,80,240mA,150mA,70lm (Typ),60lm (Typ),158 lm/W,120°,2.95V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  3000K JE2835 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-R-H35GA0000-N0000001,diodes\Diode_LED,,,3500K 3-Step MacAdam Ellipse,80,240mA,150mA,72lm (Typ),62lm (Typ),163 lm/W,120°,2.95V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  3500K JE2835 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835AWT-R-H40GA0000-N0000001,diodes\Diode_LED,,,4000K 3-Step MacAdam Ellipse,80,240mA,150mA,72lm (Typ),62lm (Typ),163 lm/W,120°,2.95V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  4000K JE2835 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JE2835BWT-P-H40GA0000-N0000001,diodes\Diode_LED,,,4000K 3-Step MacAdam Ellipse,80,240mA,150mA,76lm (Typ),68lm (Typ),169 lm/W,120°,3V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  4000K JE2835B 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JK2835BWT-W-H40EC0000-N0000001,diodes\Diode_LED,,,4000K 3-Step MacAdam Ellipse,80,120mA,100mA,131lm (Typ),114lm (Typ),142 lm/W,120°,9.2V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,LED WHITE  4000K JK2835B 9V,Surface Mount,,,2,,,Cree Inc.,,,
LED,JB2835AWT-W-U40GA0000-N0000001,diodes\Diode_LED,,,4000K 3-Step MacAdam Ellipse,90,150mA,60mA,26lm (Typ),23lm (Typ),147 lm/W,120°,2.95V,,,1113 (2835 Metric),,,,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,LED WHITE  4000K JB2835 3V,Surface Mount,,,2,,,Cree Inc.,,,
LED,S1S0-3030509503-0000003S-00001,diodes\Diode_LED,,"White, Cool",5000K 3-Step MacAdam Ellipse,95,150mA,65mA,,,,120°,3.05V,,,1212 (3030 Metric),,,,//media.digikey.com/pdf/Data%20Sheets/Seoul%20Semiconductor/S1S0-3030xx9503-00000000-00001_Rev0%203_11-22-18.pdf,LED COOL WHITE 5000K 3030,Surface Mount,0.031 (0.80mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Seoul Semiconductor Inc.,,,
LED,S1S0-3030359503-0000003S-00001,diodes\Diode_LED,,"White, Warm",3500K 3-Step MacAdam Ellipse,95,150mA,65mA,,,,120°,3.05V,,,1212 (3030 Metric),,,,//media.digikey.com/pdf/Data%20Sheets/Seoul%20Semiconductor/S1S0-3030xx9503-00000000-00001_Rev0%203_11-22-18.pdf,LED WARM WHITE 3500K 3030,Surface Mount,0.031 (0.80mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Seoul Semiconductor Inc.,,,
LED,S1S0-3030409503-0000003S-00001,diodes\Diode_LED,,"White, Neutral",4000K 3-Step MacAdam Ellipse,95,150mA,65mA,,,,120°,3.05V,,,1212 (3030 Metric),,,,//media.digikey.com/pdf/Data%20Sheets/Seoul%20Semiconductor/S1S0-3030xx9503-00000000-00001_Rev0%203_11-22-18.pdf,LED NEUTRAL WHITE 4000K 3030,Surface Mount,0.031 (0.80mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Seoul Semiconductor Inc.,,,
LED,S1S0-3030279503-0000003S-00001,diodes\Diode_LED,,"White, Warm",2700K 3-Step MacAdam Ellipse,95,150mA,65mA,,,,120°,3.05V,,,1212 (3030 Metric),,,,//media.digikey.com/pdf/Data%20Sheets/Seoul%20Semiconductor/S1S0-3030xx9503-00000000-00001_Rev0%203_11-22-18.pdf,LED WARM WHITE 2700K 3030,Surface Mount,0.031 (0.80mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Seoul Semiconductor Inc.,,,
LED,S1S0-3030309503-0000003S-00001,diodes\Diode_LED,,"White, Warm",3000K 3-Step MacAdam Ellipse,95,150mA,65mA,,,,120°,3.05V,,,1212 (3030 Metric),,,,//media.digikey.com/pdf/Data%20Sheets/Seoul%20Semiconductor/S1S0-3030xx9503-00000000-00001_Rev0%203_11-22-18.pdf,LED WARM WHITE 3000K 3030,Surface Mount,0.031 (0.80mm),0.118 L x 0.118 W (3.00mm x 3.00mm),2,,,Seoul Semiconductor Inc.,,,
