"Battery Chemistry","Battery Pack Voltage","Charge Current - Max","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Charging","Description","Device Package","Fault Protection","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Interface","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Cells","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Programmable Features","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Voltage - Supply (Max)"
Lithium Ion/Polymer,"4.2V","1A",=Part Number,Datasheet,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en027983,DigiKey Link,//digikey.com/product-detail/en/microchip-technology/MCP73833T-FCI-MF/MCP73833T-FCI-MFTR-ND/1223197,"","","","","","","","",Constant - Programmable,IC LI-ION/LI-POLY CTRLR 10DFN,"10-VFDFN Exposed Pad",Over Temperature,footprints/Leadless - DFN/PCB - LEADLESS - DFN - MICROCHIP DFN-10 3MMX3MM MF.PCBLIB,"","",MICROCHIP DFN-10 3MMX3MM MF,"","","","2019-12-05 07:37:53.373000","0",Microchip Technology,MCP73833T-FCI/MF,"1",Surface Mount,"1",-40°C ~ 85°C (TA),"10-VFDFN Exposed Pad",TapeAndReel,"15",Active,"0.65",Current,-,DigiKey,MCP73833T-FCI/MFTR-ND,"","","","","","","","","","","10-DFN (3x3)",symbols/Charger/SCH - CHARGER - MICROCHIP MCP73833.SCHLIB,MICROCHIP MCP73833,"","","6V"
Lithium Ion/Polymer,"4.2V","1.1A",=Part Number,Datasheet,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en027983,DigiKey Link,//digikey.com/product-detail/en/microchip-technology/MCP73833T-CNI-MF/MCP73833T-CNI-MFTR-ND/1223193,"","","","","","","","",Constant - Programmable,IC LI-ION/LI-POLY CTRLR 10DFN,"10-VFDFN Exposed Pad",Over Temperature,footprints/Leadless - DFN/PCB - LEADLESS - DFN - MICROCHIP DFN-10 3MMX3MM MF.PCBLIB,"","",MICROCHIP DFN-10 3MMX3MM MF,"","","","2019-12-06 01:29:27.560000","0",Microchip Technology,MCP73833T-CNI/MF,"1",Surface Mount,"1",-40°C ~ 85°C (TA),"10-VFDFN Exposed Pad",TapeAndReel,"16",Active,"0.65",Current,-,DigiKey,MCP73833T-CNI/MFTR-ND,"","","","","","","","","","","10-DFN (3x3)",symbols/Charger/SCH - CHARGER - MICROCHIP MCP73833.SCHLIB,MICROCHIP MCP73833,"","","6V"
Lithium Ion/Polymer,"4.2V","1.1A",=Part Number,Datasheet,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en027983,DigiKey Link,http://digikey.com/product-detail/en/microchip-technology/MCP73833-AMI-MF/MCP73833-AMI-MF-ND/1223155,"","","","","","","","",Constant - Programmable,IC LI-ION/LI-POLY CTRLR 10DFN,"",Over Temperature,footprints/Leadless - DFN/PCB - LEADLESS - DFN - MICROCHIP DFN-10 3MMX3MM MF.PCBLIB,"","",MICROCHIP DFN-10 3MMX3MM MF,"","","","2020-09-02 01:23:10.163000",Active,Microchip Technology,MCP73833-AMI/MF,"1",Surface Mount,"1",-40°C ~ 85°C (TA),"10-VFDFN Exposed Pad",Tube,"17",Active,"0.85",Current,-,DigiKey,MCP73833-AMI/MF-ND,"","","","","","","","","","","10-DFN (3x3)",symbols/Charger/SCH - CHARGER - MICROCHIP MCP73833.SCHLIB,MICROCHIP MCP73833,"","","6V"
Lithium Ion/Polymer,"4.2V","1.1A",=Part Number,Datasheet,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en027983,DigiKey Link,http://digikey.com/product-detail/en/microchip-technology/MCP73833-CNI-MF/MCP73833-CNI-MF-ND/1223167,"","","","","","","","",Constant - Programmable,IC LI-ION/LI-POLY CTRLR 10DFN,"",Over Temperature,footprints/Leadless - DFN/PCB - LEADLESS - DFN - MICROCHIP DFN-10 3MMX3MM MF.PCBLIB,"","",MICROCHIP DFN-10 3MMX3MM MF,"","","","2020-09-02 01:23:10.160000",Active,Microchip Technology,MCP73833-CNI/MF,"1",Surface Mount,"1",-40°C ~ 85°C (TA),"10-VFDFN Exposed Pad",Tube,"18",Active,"0.85",Current,-,DigiKey,MCP73833-CNI/MF-ND,"","","","","","","","","","","10-DFN (3x3)",symbols/Charger/SCH - CHARGER - MICROCHIP MCP73833.SCHLIB,MICROCHIP MCP73833,"","","6V"
Lithium Ion/Polymer,"4.35V","1.1A",=Part Number,Datasheet,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en027983,DigiKey Link,http://digikey.com/product-detail/en/microchip-technology/MCP73833-NVI-MF/MCP73833-NVI-MF-ND/1223177,"","","","","","","","",Constant - Programmable,IC LI-ION/LI-POLY CTRLR 10DFN,"",Over Temperature,footprints/Leadless - DFN/PCB - LEADLESS - DFN - MICROCHIP DFN-10 3MMX3MM MF.PCBLIB,"","",MICROCHIP DFN-10 3MMX3MM MF,"","","","2020-09-02 01:23:10.140000",Active,Microchip Technology,MCP73833-NVI/MF,"1",Surface Mount,"1",-40°C ~ 85°C (TA),"10-VFDFN Exposed Pad",Tube,"19",Active,"0.85",Current,-,DigiKey,MCP73833-NVI/MF-ND,"","","","","","","","","","","10-DFN (3x3)",symbols/Charger/SCH - CHARGER - MICROCHIP MCP73833.SCHLIB,MICROCHIP MCP73833,"","","6V"
Lithium Ion/Polymer,"4.2V","1.1A",=Part Number,Datasheet,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en027983,DigiKey Link,http://digikey.com/product-detail/en/microchip-technology/MCP73833-GPI-MF/MCP73833-GPI-MF-ND/1626619,"","","","","","","","",Constant - Programmable,IC LI-ION/LI-POLY CTRLR 10DFN,"",Over Temperature,footprints/Leadless - DFN/PCB - LEADLESS - DFN - MICROCHIP DFN-10 3MMX3MM MF.PCBLIB,"","",MICROCHIP DFN-10 3MMX3MM MF,"","","","2020-09-02 01:23:10.137000",Active,Microchip Technology,MCP73833-GPI/MF,"1",Surface Mount,"1",-40°C ~ 85°C (TA),"10-VFDFN Exposed Pad",Tube,"20",Active,"0.91",Current,-,DigiKey,MCP73833-GPI/MF-ND,"","","","","","","","","","","10-DFN (3x3)",symbols/Charger/SCH - CHARGER - MICROCHIP MCP73833.SCHLIB,MICROCHIP MCP73833,"","","6V"
Lithium Ion/Polymer,"4.2V","1.1A",=Part Number,Datasheet,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en027983,DigiKey Link,http://digikey.com/product-detail/en/microchip-technology/MCP73833-BZI-MF/MCP73833-BZI-MF-ND/1223163,"","","","","","","","",Constant - Programmable,IC LI-ION/LI-POLY CTRLR 10DFN,"",Over Temperature,footprints/Leadless - DFN/PCB - LEADLESS - DFN - MICROCHIP DFN-10 3MMX3MM MF.PCBLIB,"","",MICROCHIP DFN-10 3MMX3MM MF,"","","","2020-09-02 01:23:10.130000",Active,Microchip Technology,MCP73833-BZI/MF,"1",Surface Mount,"1",-40°C ~ 85°C (TA),"10-VFDFN Exposed Pad",Tube,"21",Active,"0.91",Current,-,DigiKey,MCP73833-BZI/MF-ND,"","","","","","","","","","","10-DFN (3x3)",symbols/Charger/SCH - CHARGER - MICROCHIP MCP73833.SCHLIB,MICROCHIP MCP73833,"","","6V"
Lithium Ion/Polymer,"4.2V","1.1A",=Part Number,Datasheet,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en027983,DigiKey Link,http://digikey.com/product-detail/en/microchip-technology/MCP73833-FCI-MF/MCP73833-FCI-MF-ND/1223173,"","","","","","","","",Constant - Programmable,IC LI-ION/LI-POLY CTRLR 10DFN,"",Over Temperature,footprints/Leadless - DFN/PCB - LEADLESS - DFN - MICROCHIP DFN-10 3MMX3MM MF.PCBLIB,"","",MICROCHIP DFN-10 3MMX3MM MF,"","","","2020-09-02 01:23:10.110000",Active,Microchip Technology,MCP73833-FCI/MF,"1",Surface Mount,"1",-40°C ~ 85°C (TA),"10-VFDFN Exposed Pad",Tube,"22",Active,"0.85",Current,-,DigiKey,MCP73833-FCI/MF-ND,"","","","","","","","","","","10-DFN (3x3)",symbols/Charger/SCH - CHARGER - MICROCHIP MCP73833.SCHLIB,MICROCHIP MCP73833,"","","6V"
Lithium Ion/Polymer,"8.4V","1A",=Part Number,Datasheet,http://www.skyworksinc.com/uploads/documents/AAT3663_201878C.pdf,DigiKey Link,//digikey.com/product-detail/en/skyworks-solutions-inc/AAT3663IWO-8.4-2-T1/863-1544-2-ND/4753043,"","","","","","","","",Constant - Programmable,IC LI-ION CHARGER 14-DFN,"14-WFDFN Exposed Pad","Over Current, Over Temperature, Over Voltage, Short Circuit",footprints/Leadless - DFN/PCB - LEADLESS - DFN - SKYWORKS TDFN-14 3X3MM.PCBLIB,"","",SKYWORKS TDFN-14 3X3MM,"","",USB,"2019-12-06 02:00:26.650000","0",Skyworks Solutions Inc.,AAT3663IWO-8.4-2-T1,"1",Surface Mount,"2",-40°C ~ 85°C (TA),"14-WFDFN Exposed Pad",TapeAndReel,"23",Active,"0.78",Current,BatteryManager™,DigiKey,"863-1544-2-ND","","","","","","","","","","","14-TDFN (3x3)",symbols/Charger/SCH - CHARGER - SKYWORKS AAT3663.SCHLIB,SKYWORKS AAT3663,"","","13.2V"
Lithium Ion/Polymer,"4.2V","1A",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fbq24092,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/BQ24090DGQT/296-25863-2-ND/2237296,"","","","","","","","",Constant - Programmable,IC BATT CHRGR LI-ION 10MSOP,"10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad","Over Temperature, Over Voltage, Short Circuit",footprints/Leaded - Misc/PCB - LEADED - MISC - TI PDSO-10 DCQ.PCBLIB,"","",TI PDSO-10 DCQ,"","",USB,"2019-12-08 03:14:09.060000","0",Texas Instruments,BQ24090DGQT,"1",Surface Mount,"1","0°C ~ 125°C (TJ)","10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad",TapeAndReel,"24",Active,"0.83",Current,-,DigiKey,"296-25863-2-ND","","","","","","","","","","","10-MSOP-PowerPad",symbols/Charger/SCH - CHARGER - TI BQ2409X.SCHLIB,TI BQ2409X,"","","6.45V"
Lithium Ion/Polymer,"4.2V","1A",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fbq24092,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/BQ24092DGQT/296-27510-2-ND/2325817,"","","","","","","","",Constant - Programmable,IC BATT CHARGER LI-ION 10MSOP,"10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad","Over Temperature, Over Voltage, Short Circuit",footprints/Leaded - Misc/PCB - LEADED - MISC - TI PDSO-10 DCQ.PCBLIB,"","",TI PDSO-10 DCQ,"","",USB,"2019-12-08 03:15:42.390000","0",Texas Instruments,BQ24092DGQT,"1",Surface Mount,"1","0°C ~ 125°C (TJ)","10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad",TapeAndReel,"25",Active,"0.83",Current,-,DigiKey,"296-27510-2-ND","","","","","","","","","","","10-MSOP-PowerPad",symbols/Charger/SCH - CHARGER - TI BQ2409X.SCHLIB,TI BQ2409X,"","","6.45V"
Lithium Ion/Polymer,"4.2V","1A",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fbq24092,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/BQ24093DGQT/296-BQ24093DGQTTR-ND/2325822,"","","","","","","","",Constant - Programmable,IC BATT CHARGER LI-ION 10MSOP,"10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad","Over Temperature, Over Voltage, Short Circuit",footprints/Leaded - Misc/PCB - LEADED - MISC - TI PDSO-10 DCQ.PCBLIB,"","",TI PDSO-10 DCQ,"","",USB,"2019-12-08 03:16:29.193000","0",Texas Instruments,BQ24093DGQT,"1",Surface Mount,"1","0°C ~ 125°C (TJ)","10-TFSOP, 10-MSOP (0.118, 3.00mm Width) Exposed Pad",TapeAndReel,"26",Active,"0.83",Current,-,DigiKey,"296-BQ24093DGQTTR-ND","","","","","","","","","","","10-MSOP-PowerPad",symbols/Charger/SCH - CHARGER - TI BQ2409X.SCHLIB,TI BQ2409X,"","","6.45V"
Lithium Ion/Polymer,"4.2V","1A",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fbq24040,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/BQ24040DSQT/296-25136-2-ND/2165906,"","","","","","","","",Constant - Programmable,IC BATT CHG LI-ION 1 CELL 10SON,"10-WFDFN Exposed Pad","Over Temperature, Over Voltage, Short Circuit",footprints/Leadless - SON/PCB - LEADLESS - SON - TI PWSON-10 DSQ.PCBLIB,"","",TI PWSON-10 DSQ,"","","","2019-12-08 03:17:39.907000","0",Texas Instruments,BQ24040DSQT,"1",Surface Mount,"1",-40°C ~ 85°C (TA),"10-WFDFN Exposed Pad",TapeAndReel,"27",Active,"0.81",Current,-,DigiKey,"296-25136-2-ND","","","","","","","","","","","10-SON (2x2)",symbols/Charger/SCH - CHARGER - TI BQ24040_45.SCHLIB,TI BQ24040_45,"","","28V"
Lithium Ion/Polymer,"4.2V","1A",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fbq24041,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/BQ24041DSQT/296-25137-2-ND/2165907,"","","","","","","","",Constant - Programmable,IC BATT CHG LI-ION 1 CELL 10SON,"10-WFDFN Exposed Pad","Over Temperature, Over Voltage, Short Circuit",footprints/Leadless - SON/PCB - LEADLESS - SON - TI PWSON-10 DSQ.PCBLIB,"","",TI PWSON-10 DSQ,"","","","2019-12-08 03:18:13.747000","0",Texas Instruments,BQ24041DSQT,"1",Surface Mount,"1","0°C ~ 125°C (TJ)","10-WFDFN Exposed Pad",TapeAndReel,"28",Active,"0.81","",-,DigiKey,"296-25137-2-ND","","","","","","","","","","","10-SON (2x2)",symbols/Charger/SCH - CHARGER - TI BQ24041.SCHLIB,TI BQ24041,"","","28V"
Lithium Ion/Polymer,"4.2V","1.1A",=Part Number,Datasheet,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en027983,DigiKey Link,//digikey.com/product-detail/en/microchip-technology/MCP73833-FCI-UN/MCP73833-FCI-UN-ND/1223175,"","","","","","","","",Constant - Programmable,IC LI-ION/LI-POLY CTRLR 10MSOP,"10-TFSOP, 10-MSOP (0.118, 3.00mm Width)",Over Temperature,footprints/Leaded - SOP/PCB - LEADED - SOP - MICROCHIP MSOP-10 UN.PCBLIB,"","",MICROCHIP MSOP-10 UN,"","","","2019-12-08 03:18:49.353000","0",Microchip Technology,MCP73833-FCI/UN,"1",Surface Mount,"1",-40°C ~ 85°C (TA),"10-TFSOP, 10-MSOP (0.118, 3.00mm Width)",Tube,"29",Active,"0.85",Current,-,DigiKey,MCP73833-FCI/UN-ND,"","","","","","","","","","","10-MSOP",symbols/Charger/SCH - CHARGER - MICROCHIP MCP73833.SCHLIB,MICROCHIP MCP73833,"","","6V"
Lithium Ion/Polymer,"4.2V","1.1A",=Part Number,Datasheet,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en027983,DigiKey Link,//digikey.com/product-detail/en/microchip-technology/MCP73834-FCI-UN/MCP73834-FCI-UN-ND/1223213,"","","","","","","","",Constant - Programmable,IC LI-ION/LI-POLY CTRLR 10MSOP,"10-TFSOP, 10-MSOP (0.118, 3.00mm Width)",Over Temperature,footprints/Leaded - SOP/PCB - LEADED - SOP - MICROCHIP MSOP-10 UN.PCBLIB,"","",MICROCHIP MSOP-10 UN,"","","","2019-12-08 03:19:05.530000","0",Microchip Technology,MCP73834-FCI/UN,"1",Surface Mount,"1",-40°C ~ 85°C (TA),"10-TFSOP, 10-MSOP (0.118, 3.00mm Width)",Tube,"30",Active,"0.85",Current,-,DigiKey,MCP73834-FCI/UN-ND,"","","","","","","","","","","10-MSOP",symbols/Charger/SCH - CHARGER - MICROCHIP MCP73834.SCHLIB,MICROCHIP MCP73834,"","","6V"
Lithium Ion/Polymer,"4.2V","400mA",=Part Number,Datasheet,http://www.linear.com/docs/43861,DigiKey Link,http://digikey.com/product-detail/en/linear-technology-analog-devices/LTC4120EUD-4.2-PBF/LTC4120EUD-4.2-PBF-ND/4915029,"","","","","","","","",Constant - Programmable,IC BATT CHARGER 400MA RF 16QFN,"16-WFQFN Exposed Pad","",footprints/Leadless - QFN/PCB - LEADLESS - QFN - LTC QFN-16 UD.PcbLib,"","",LTC QFN-16 UD,"","","","2020-03-19 22:46:05.707000",Active,Linear Technology/Analog Devices,LTC4120EUD-4.2#PBF,"1",Surface Mount,"1",-40°C ~ 125°C (TJ),"16-WFQFN Exposed Pad",Tube,"31",Active,"8.11","",-,DigiKey,LTC4120EUD-4.2#PBF-ND,"","","","","","","","","","","16-QFN (3x3)",symbols/Charger/SCH - CHARGER - LTC LTC4120EUD-4.2.SCHLIB,LTC LTC4120EUD-4.2,"","","40V"
