"Color","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current","Description","Device Package","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Mating Orientation","Minimum Order","Mounting Type","Number of Levels","Packaging","Part Status","Pitch","Positions Per Level","Price","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Type","Value","Voltage","Wire Gauge","Wire Termination"
Green,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=282834&DocType=Customer+Drawing&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-amp-connectors/282834-2/A98333-ND/1150135,"","","","","","","","","10A",TERM BLK 2P SIDE ENT 2.54MM PCB,"","",footprints/Connector - TE/PCB - CONNECTOR - TE - TE 282834-2.PCBLIB,"","",TE 282834-2,"","","2020-01-15 04:15:38.440000",Active,TE Connectivity AMP Connectors,"282834-2",Horizontal with Board,"1",Through Hole,"1",Bulk,Active,"0.100 (2.54mm)","2","0.88",Buchanan,DigiKey,A98333-ND,"","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - 2 PIN.SCHLIB,"2 PIN","","","150V","16-30 AWG",Screw - Rising Cage Clamp
Green,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=282834&DocType=Customer+Drawing&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-amp-connectors/282834-3/A98334-ND/1153264,"","","","","","","","","10A",TERM BLK 3P SIDE ENT 2.54MM PCB,"","",footprints/Connector - TE/PCB - CONNECTOR - TE - TE 282834-3.PCBLIB,"","",TE 282834-3,"","","2020-01-15 04:15:50.317000",Active,TE Connectivity AMP Connectors,"282834-3",Horizontal with Board,"1",Through Hole,"1",Bulk,Active,"0.100 (2.54mm)","3","2.01",Buchanan,DigiKey,A98334-ND,"","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - 3 PIN.SCHLIB,"3 PIN","","","150V","16-30 AWG",Screw - Rising Cage Clamp
Green,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=282834&DocType=Customer+Drawing&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-amp-connectors/282834-4/A98335-ND/1153265,"","","","","","","","","10A",TERM BLK 4P SIDE ENT 2.54MM PCB,"","",footprints/Connector - TE/PCB - CONNECTOR - TE - TE 282834-4.PCBLIB,"","",TE 282834-4,"","","2020-01-15 04:16:04.923000",Active,TE Connectivity AMP Connectors,"282834-4",Horizontal with Board,"1",Through Hole,"1",Bulk,Active,"0.100 (2.54mm)","4","2.68",Buchanan,DigiKey,A98335-ND,"","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - 4 PIN.SCHLIB,"4 PIN","","","150V","16-30 AWG",Screw - Rising Cage Clamp
Green,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=282834&DocType=Customer+Drawing&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-amp-connectors/282834-5/A98336-ND/1153266,"","","","","","","","","10A",TERM BLK 5P SIDE ENT 2.54MM PCB,"","",footprints/Connector - TE/PCB - CONNECTOR - TE - TE 282834-5.PCBLIB,"","",TE 282834-5,"","","2020-01-15 04:16:18.760000",Active,TE Connectivity AMP Connectors,"282834-5",Horizontal with Board,"1",Through Hole,"1",Bulk,Active,"0.100 (2.54mm)","5","2.99",Buchanan,DigiKey,A98336-ND,"","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - 5 PIN.SCHLIB,"5 PIN","","","150V","16-30 AWG",Screw - Rising Cage Clamp
Green,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=282834&DocType=Customer+Drawing&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-amp-connectors/282834-6/A98337-ND/1153267,"","","","","","","","","10A",TERM BLK 6P SIDE ENT 2.54MM PCB,"","",footprints/Connector - TE/PCB - CONNECTOR - TE - TE 282834-6.PCBLIB,"","",TE 282834-6,"","","2020-01-15 04:16:31.010000",Active,TE Connectivity AMP Connectors,"282834-6",Horizontal with Board,"1",Through Hole,"1",Bulk,Active,"0.100 (2.54mm)","6","4.72",Buchanan,DigiKey,A98337-ND,"","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - 6 PIN.SCHLIB,"6 PIN","","","150V","16-30 AWG",Screw - Rising Cage Clamp
Green,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=282834&DocType=Customer+Drawing&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-amp-connectors/282834-7/A135912-ND/1827297,"","","","","","","","","10A",TERM BLK 7P SIDE ENT 2.54MM PCB,"","",footprints/Connector - TE/PCB - CONNECTOR - TE - TE 282834-7.PCBLIB,"","",TE 282834-7,"","","2020-01-15 04:16:49.087000",Active,TE Connectivity AMP Connectors,"282834-7",Horizontal with Board,"1",Through Hole,"1",Bulk,Active,"0.100 (2.54mm)","7","6.61",Buchanan,DigiKey,A135912-ND,"","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - 7 PIN.SCHLIB,"7 PIN","","","150V","16-30 AWG",Screw - Rising Cage Clamp
Green,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=282834&DocType=Customer+Drawing&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-amp-connectors/282834-8/A98338-ND/1150136,"","","","","","","","","10A",TERM BLK 8P SIDE ENT 2.54MM PCB,"","",footprints/Connector - TE/PCB - CONNECTOR - TE - TE 282834-8.PCBLIB,"","",TE 282834-8,"","","2020-01-15 04:17:00.240000",Active,TE Connectivity AMP Connectors,"282834-8",Horizontal with Board,"1",Through Hole,"1",Bulk,Active,"0.100 (2.54mm)","8","6.29",Buchanan,DigiKey,A98338-ND,"","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - 8 PIN.SCHLIB,"8 PIN","","","150V","16-30 AWG",Screw - Rising Cage Clamp
Black,=Part Number,Datasheet,https://katalog.we-online.de/em/datasheet/6915081103xx.pdf,DigiKey Link,http://digikey.com/product-detail/en/w-rth-elektronik/691508110302/732-5963-1-ND/5047612,"","","","","","","","","10A",TERM BLOCK 2POS 3.5MM SMD,"","Board Guide, Mounting Flange",footprints/Connector - Misc/PCB - CONNECTOR - MISC - WURTH 691508110302.PCBLIB,"","",WURTH 691508110302,"","","2020-01-15 04:18:54.857000",Active,Würth Elektronik,"691508110302",Horizontal and Vertical with Board,"1",Surface Mount,"1",TapeAndReel,Active,"0.138 (3.50mm)","2","1.57",WR-TBL Series 5081,DigiKey,"732-5963-1-ND","","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - 2 PIN.SCHLIB,"2 PIN","","","300V","16-30 AWG",Screw - Rising Cage Clamp
Black,=Part Number,Datasheet,https://katalog.we-online.de/em/datasheet/6915081103xx.pdf,DigiKey Link,http://digikey.com/product-detail/en/w-rth-elektronik/691508110303/732-5964-1-ND/5047613,"","","","","","","","","10A",TERM BLOCK 3POS 3.5MM SMD,"","Board Guide, Mounting Flange",footprints/Connector - Misc/PCB - CONNECTOR - MISC - WURTH 691508110303.PCBLIB,"","",WURTH 691508110303,"","","2020-01-15 04:19:09.097000",Active,Würth Elektronik,"691508110303",Horizontal and Vertical with Board,"1",Surface Mount,"1",TapeAndReel,Active,"0.138 (3.50mm)","3","2.33",WR-TBL Series 5081,DigiKey,"732-5964-1-ND","","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - 3 PIN.SCHLIB,"3 PIN","","","300V","16-30 AWG",Screw - Rising Cage Clamp
Black,=Part Number,Datasheet,https://katalog.we-online.de/em/datasheet/6915081103xx.pdf,DigiKey Link,http://digikey.com/product-detail/en/w-rth-elektronik/691508110304/732-5965-1-ND/5047614,"","","","","","","","","10A",TERM BLOCK 4POS 3.5MM SMD,"","Board Guide, Mounting Flange",footprints/Connector - Misc/PCB - CONNECTOR - MISC - WURTH 691508110304.PCBLIB,"","",WURTH 691508110304,"","","2020-01-15 04:19:30.813000",Active,Würth Elektronik,"691508110304",Horizontal and Vertical with Board,"1",Surface Mount,"1",TapeAndReel,Active,"0.138 (3.50mm)","4","3.14",WR-TBL Series 5081,DigiKey,"732-5965-1-ND","","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - 4 PIN.SCHLIB,"4 PIN","","","300V","16-30 AWG",Screw - Rising Cage Clamp
Black,=Part Number,Datasheet,https://katalog.we-online.de/em/datasheet/6915081103xx.pdf,DigiKey Link,http://digikey.com/product-detail/en/w-rth-elektronik/691508110305/732-5966-1-ND/5047615,"","","","","","","","","10A",TERM BLOCK 5POS 3.5MM SMD,"","Board Guide, Mounting Flange",footprints/Connector - Misc/PCB - CONNECTOR - MISC - WURTH 691508110305.PCBLIB,"","",WURTH 691508110305,"","","2020-01-15 04:19:43.680000",Active,Würth Elektronik,"691508110305",Horizontal and Vertical with Board,"1",Surface Mount,"1",TapeAndReel,Active,"0.138 (3.50mm)","5","3.90",WR-TBL Series 5081,DigiKey,"732-5966-1-ND","","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - 5 PIN.SCHLIB,"5 PIN","","","300V","16-30 AWG",Screw - Rising Cage Clamp
Black,=Part Number,Datasheet,https://katalog.we-online.de/em/datasheet/6915081103xx.pdf,DigiKey Link,http://digikey.com/product-detail/en/w-rth-elektronik/691508110306/732-5967-1-ND/5047616,"","","","","","","","","10A",TERM BLOCK 6POS 3.5MM SMD,"","Board Guide, Mounting Flange",footprints/Connector - Misc/PCB - CONNECTOR - MISC - WURTH 691508110306.PCBLIB,"","",WURTH 691508110306,"","","2020-01-15 04:19:54.533000",Active,Würth Elektronik,"691508110306",Horizontal and Vertical with Board,"1",Surface Mount,"1",TapeAndReel,Active,"0.138 (3.50mm)","6","4.71",WR-TBL Series 5081,DigiKey,"732-5967-1-ND","","","","","","","","","","",symbols/Connectors/SCH - CONNECTORS - 6 PIN.SCHLIB,"6 PIN","","","300V","16-30 AWG",Screw - Rising Cage Clamp
