"Architecture","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Configuration","Data Interface","Description","Device Package","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Input Type","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of A/D Converters","Number of Bits","Number of Inputs","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratio - S/H:ADC","Reference Type","Sampling Rate (Per Second)","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Voltage - Supply, Analog","Voltage - Supply, Digital"
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1255,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1256IDBR/296-25898-2-ND/1689177,"","","","","","","","",MUX-PGA-ADC,"",IC ADC 24BIT SIGMA-DELTA 28SSOP,"28-SSOP (0.209, 5.30mm Width)",PGA,footprints/Leaded - SOP/PCB - LEADED - SOP - TI SSOP-28 DB.PCBLIB,"","",TI SSOP-28 DB,"","","Differential, Single Ended","2019-12-02 15:55:25.787000","0",Texas Instruments,ADS1256IDBR,"1",Surface Mount,"","","4, 8",-40°C ~ 85°C,"28-SSOP (0.209, 5.30mm Width)",TapeAndReel,"13",Active,"8.80","",External,"",-,DigiKey,"296-25898-2-ND","","","","","","","","","","","28-SSOP",symbols/ADC/SCH - ADC - TI ADS1256.SCHLIB,TI ADS1256,"","","",""
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1240,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1240E/ADS1240E-ND/379937,"","","","","","","","",MUX-PGA-ADC,"",IC ADC 24BIT SIGMA-DELTA 24SSOP,"24-SSOP (0.209, 5.30mm Width)",PGA,footprints/Leaded - SOP/PCB - LEADED - SOP - TI SSOP-24 DB.PCBLIB,"","",TI SSOP-24 DB,"","","Differential, Single Ended","2019-12-08 02:49:46.073000","0",Texas Instruments,ADS1240E,"1",Surface Mount,"","","4",-40°C ~ 85°C,"24-SSOP (0.209, 5.30mm Width)",Tube,"14",Active,"11.87","",External,"",-,DigiKey,ADS1240E-ND,"","","","","","","","","","","24-SSOP",symbols/ADC/SCH - ADC - TI ADS1240.SCHLIB,TI ADS1240,"","","",""
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1240,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1241E/ADS1241E-ND/379929,"","","","","","","","",MUX-PGA-ADC,"",IC ADC 24BIT SIGMA-DELTA 28SSOP,"28-SSOP (0.209, 5.30mm Width)",PGA,footprints/Leaded - SOP/PCB - LEADED - SOP - TI SSOP-28 DB.PCBLIB,"","",TI SSOP-28 DB,"","","Differential, Single Ended","2019-12-08 02:52:15.423000","0",Texas Instruments,ADS1241E,"1",Surface Mount,"","","8",-40°C ~ 85°C,"28-SSOP (0.209, 5.30mm Width)",Tube,"15",Active,"11.55","",External,"",-,DigiKey,ADS1241E-ND,"","","","","","","","","","","28-SSOP",symbols/ADC/SCH - ADC - TI ADS1241.SCHLIB,TI ADS1241,"","","",""
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1220,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1220IRVAT/296-37802-2-ND/4806293,"","","","","","","","",MUX-PGA-ADC,"",IC ADC 24BIT SIGMA-DELTA 16VQFN,"16-VFQFN Exposed Pad","PGA, Temperature Sensor",footprints/Leadless - QFN/PCB - LEADLESS - QFN - TI VQFN-16 RVA.PCBLIB,"","",TI VQFN-16 RVA,"","","Differential, Single Ended","2019-12-08 02:56:40.950000","0",Texas Instruments,ADS1220IRVAT,"1",Surface Mount,"","","2, 4",-40°C ~ 125°C,"16-VFQFN Exposed Pad",TapeAndReel,"16",Active,"6.20","","External, Internal, Supply","",-,DigiKey,"296-37802-2-ND","","","","","","","","","","","16-VQFN (3.5x3.5)",symbols/ADC/SCH - ADC - TI ADS1220.SCHLIB,TI ADS1220,"","","",""
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1255,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1255IDBT/296-15743-2-ND/593899,"","","","","","","","",MUX-PGA-ADC,"",IC ADC 24BIT SIGMA-DELTA 20SSOP,"20-SSOP (0.209, 5.30mm Width)",PGA,footprints/Leaded - SOP/PCB - LEADED - SOP - TI SSOP-20 DB.PCBLIB,"","",TI SSOP-20 DB,"","","Differential, Single Ended","2019-12-08 02:58:23.427000","0",Texas Instruments,ADS1255IDBT,"1",Surface Mount,"","","1, 2",-40°C ~ 85°C,"20-SSOP (0.209, 5.30mm Width)",TapeAndReel,"17",Active,"10.21","",External,"",-,DigiKey,"296-15743-2-ND","","","","","","","","","","","20-SSOP",symbols/ADC/SCH - ADC - TI ADS1255.SCHLIB,TI ADS1255,"","","",""
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1255,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1256IDBT/296-15208-2-ND/566351,"","","","","","","","",MUX-PGA-ADC,"",IC ADC 24BIT SIGMA-DELTA 28SSOP,"28-SSOP (0.209, 5.30mm Width)",PGA,footprints/Leaded - SOP/PCB - LEADED - SOP - TI SSOP-28 DB.PCBLIB,"","",TI SSOP-28 DB,"","","Differential, Single Ended","2019-12-08 02:59:00.403000","0",Texas Instruments,ADS1256IDBT,"1",Surface Mount,"","","4, 8",-40°C ~ 85°C,"28-SSOP (0.209, 5.30mm Width)",TapeAndReel,"18",Active,"11.46","",External,"",-,DigiKey,"296-15208-2-ND","","","","","","","","","","","28-SSOP",symbols/ADC/SCH - ADC - TI ADS1256.SCHLIB,TI ADS1256,"","","",""
"",=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1242,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1242IPWT/ADS1242IPWTTR-ND/459348,"","","","","","","","",MUX-PGA-ADC,"",IC ADC 24BIT SIGMA-DELTA 16TSSOP,"16-TSSOP (0.173, 4.40mm Width)",PGA,footprints/Leaded - SOP/PCB - LEADED - SOP - TI TSSOP-16 PW.PCBLIB,"","",TI TSSOP-16 PW,"","","Differential, Single Ended","2019-12-08 03:00:32","0",Texas Instruments,ADS1242IPWT,"1",Surface Mount,"","","4",-40°C ~ 85°C,"16-TSSOP (0.173, 4.40mm Width)",TapeAndReel,"19",Active,"7.03","",External,"",-,DigiKey,ADS1242IPWTTR-ND,"","","","","","","","","","","16-TSSOP",symbols/ADC/SCH - ADC - TI ADS1242.SCHLIB,TI ADS1242,"","","",""
Sigma-Delta,=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1242,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ADS1243IPWT/ADS1243IPWTTR-ND/459360,"","","","","","","","",MUX-PGA-ADC,SPI,IC ADC 24BIT SIGMA-DELTA 20TSSOP,"20-TSSOP (0.173, 4.40mm Width)",PGA,footprints/Leaded - SOP/PCB - LEADED - SOP - TI TSSOP-20 PW.PCBLIB,"","",TI TSSOP-20 PW,"","","Differential, Single Ended","2019-12-08 03:01:02.020000","0",Texas Instruments,ADS1243IPWT,"1",Surface Mount,"1","24","8",-40°C ~ 85°C,"20-TSSOP (0.173, 4.40mm Width)",TapeAndReel,"20",Active,"6.79","",External,"15",-,DigiKey,ADS1243IPWTTR-ND,"","","","","","","","","","","20-TSSOP",symbols/ADC/SCH - ADC - TI ADS1243.SCHLIB,TI ADS1243,"","","2.7V ~ 3.3V, 5V","2.7V ~ 5.25V"
Sigma-Delta,=Part Number,Datasheet,https://www.ti.com/lit/ds/symlink/ads127l01.pdf,DigiKey Link,https://www.digikey.cn/en/products/detail/texas-instruments/ADS127L01IPBS/6164944,"","","","","","","","",ADC,SPI,IC ADC 24BIT SIGMA-DELTA 32TQFP,"32-TQFP (5x5)",-,footprints/Leadless - TQFP/PCB - LEADLESS - TQFP - TI TQFP-32 5X5MM.PCBLIB,"","",TSQFP50P700X700X105-32N,"","","Differential, Single Ended","","0",Texas Instruments,ADS127L01IPBS,"1",Surface Mount,"1","24","1",-40°C ~ 85°C,"32-TQFP",TapeAndReel,"21",Active,"6.79","",External,"512k",-,DigiKey,"296-48867-ND","","","","","","","","","","","32-TQFP (5x5)",symbols/ADC/SCH - ADC - TI ADS127L01.SCHLIB,TI ADS127L01,"","","2.7V ~ 3.6V","1.7V ~ 3.6V"
Sigma-Delta,=Part Number,Datasheet,https://www.ti.com/lit/ds/symlink/ads127l01.pdf,DigiKey Link,https://www.digikey.cn/en/products/detail/texas-instruments/ADS127L01IPBSR/6052587,"","","","","","","","",ADC,SPI,IC ADC 24BIT SIGMA-DELTA 32TQFP,"32-TQFP (5x5)",-,footprints/Leadless - TQFP/PCB - LEADLESS - TQFP - TI TQFP-32 5X5MM.PCBLIB,"","",TSQFP50P700X700X105-32N,"","","Differential, Single Ended","","0",Texas Instruments,ADS127L01IPBSR,"1",Surface Mount,"1","24","1",-40°C ~ 85°C,"32-TQFP",TapeAndReel,"21",Active,"6.79","",External,"512k",-,DigiKey,"296-44344-2-ND","","","","","","","","","","","32-TQFP (5x5)",symbols/ADC/SCH - ADC - TI ADS127L01.SCHLIB,TI ADS127L01,"","","2.7V ~ 3.6V","1.7V ~ 3.6V"
Sigma-Delta,=Part Number,Datasheet,https://www.ti.com/lit/ds/symlink/ads131a04.pdf,DigiKey Link,https://www.digikey.cn/en/products/detail/texas-instruments/ADS131A04IPBS/5994569,"","","","","","","","",ADC,SPI,IC ADC 24BIT SIGMA-DELTA 32TQFP,"32-TQFP (5x5)",-,footprints/Leadless - TQFP/PCB - LEADLESS - TQFP - TI TQFP-32 5X5MM.PCBLIB,"","",TSQFP50P700X700X105-32N,"","","Differential, Single Ended","","0",Texas Instruments,ADS131A04IPBS,"1",Surface Mount,"1","24","1",-40°C ~ 85°C,"32-TQFP",TapeAndReel,"",Active,"6.79","",External,"128k",-,DigiKey,"296-47690-ND","","","","","","","","","","","32-TQFP (5x5)",symbols/ADC/SCH - ADC - TI ADS131A04.SCHLIB,TI ADS131A04,"","","2.7V ~ 3.6V","1.7V ~ 3.6V"
Sigma-Delta,=Part Number,Datasheet,https://www.ti.com/lit/ds/symlink/ads131a04.pdf,DigiKey Link,https://www.digikey.cn/en/products/detail/texas-instruments/ADS131A02IPBS/13500567,"","","","","","","","",ADC,SPI,IC ADC 24BIT SIGMA-DELTA 32TQFP,"32-TQFP (5x5)",-,footprints/Leadless - TQFP/PCB - LEADLESS - TQFP - TI TQFP-32 5X5MM.PCBLIB,"","",TSQFP50P700X700X105-32N,"","","Differential, Single Ended","","0",Texas Instruments,ADS131A02IPBS,"1",Surface Mount,"1","24","1",-40°C ~ 85°C,"32-TQFP",TapeAndReel,"",Active,"6.79","",External,"128k",-,DigiKey,"296-44812-ND","","","","","","","","","","","32-TQFP (5x5)",symbols/ADC/SCH - ADC - TI ADS131A02.SCHLIB,TI ADS131A02,"","","2.7V ~ 3.6V","1.7V ~ 3.6V"
Sigma-Delta,=Part Number,Datasheet,https://www.ti.com.cn/cn/lit/ds/symlink/ads131m04.pdf,DigiKey Link,https://www.digikey.cn/en/products/detail/texas-instruments/ADS131M04IRUKR/13896417,"","","","","","","","",ADC,SPI,IC ADC 24BIT SIGMA-DELTA 20WQFN,"20-WQFN (3x3)",-,footprints/Leadless - QFN/PCB - LEADLESS - QFN - TI WQFN-20 RUK0020B.PcbLib,"","",TI WQFN-20 RUK0020B,"","","Differential, Single Ended","","0",Texas Instruments,ADS131M04IRUKR,"1",Surface Mount,"1","24","1",-40°C ~ 85°C,"20-WFQFN Exposed Pad",TapeAndReel,"",Active,"6.79","",External,"32k",-,DigiKey,"296-44812-ND","","","","","","","","","","","20-WQFN (3x3)",symbols/ADC/SCH - ADC - TI ADS131M04.SCHLIB,TI ADS131M04 RUK,"","","2.7V ~ 3.6V","1.7V ~ 3.6V"
Sigma-Delta,=Part Number,Datasheet,https://www.ti.com/lit/ds/symlink/ads131m02.pdf,DigiKey Link,https://www.digikey.cn/en/products/detail/texas-instruments/ADS131M02IRUKR/13896399,"","","","","","","","",ADC,SPI,IC ADC 24BIT SIGMA-DELTA 20WQFN,"20-WQFN (3x3)",-,footprints/Leadless - QFN/PCB - LEADLESS - QFN - TI WQFN-20 RUK0020B.PcbLib,"","",TI WQFN-20 RUK0020B,"","","Differential, Single Ended","","0",Texas Instruments,ADS131M02IRUKR,"1",Surface Mount,"1","24","1",-40°C ~ 85°C,"20-WFQFN Exposed Pad",TapeAndReel,"",Active,"6.79","",External,"32k",-,DigiKey,"296-ADS131M02IRUKRTR-ND","","","","","","","","","","","20-WQFN (3x3)",symbols/ADC/SCH - ADC - TI ADS131M02.SCHLIB,TI ADS131M02 RUK,"","","2.7V ~ 3.6V","1.7V ~ 3.6V"
Sigma-Delta,=Part Number,Datasheet,https://www.ti.com.cn/cn/lit/ds/symlink/ads131m04.pdf,DigiKey Link,https://www.digikey.cn/en/products/detail/texas-instruments/ADS131M04IRUKR/13896417,"","","","","","","","",ADC,SPI,IC ADC 24BIT SIGMA-DELTA 20TSSOP,"20-TSSOP",-,footprints/Leaded - SOP/PCB - LEADED - SOP - TI TSSOP-20 PW.PCBLIB,"","",TI TSSOP-20 PW,"","","Differential, Single Ended","","0",Texas Instruments,ADS131M04IPWT,"1",Surface Mount,"1","24","1",-40°C ~ 85°C,"20-TSSOP (0.173"", 4.40mm Width)",TapeAndReel,"",Active,"6.79","",External,"32k",-,DigiKey,"296-ADS131M04IPWTTR-ND","","","","","","","","","","","20-TSSOP",symbols/ADC/SCH - ADC - TI ADS131M04.SCHLIB,TI ADS131M04 PW,"","","2.7V ~ 3.6V","1.7V ~ 3.6V"
Sigma-Delta,=Part Number,Datasheet,https://www.ti.com/lit/ds/symlink/ads131m02.pdf,DigiKey Link,https://www.digikey.cn/en/products/detail/texas-instruments/ADS131M02IPWR/15857267,"","","","","","","","",ADC,SPI,IC ADC 24BIT SIGMA-DELTA 20WQFN,"20-TSSOP",-,footprints/Leaded - SOP/PCB - LEADED - SOP - TI TSSOP-20 PW.PCBLIB,"","",TI TSSOP-20 PW,"","","Differential, Single Ended","","0",Texas Instruments,ADS131M02IPWR,"1",Surface Mount,"1","24","1",-40°C ~ 85°C,"20-TSSOP (0.173"", 4.40mm Width)",TapeAndReel,"",Active,"6.79","",External,"32k",-,DigiKey,"296-ADS131M02IPWRTR-ND","","","","","","","","","","","20-TSSOP",symbols/ADC/SCH - ADC - TI ADS131M02.SCHLIB,TI ADS131M02 PW,"","","2.7V ~ 3.6V","1.7V ~ 3.6V"
