"Applications","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Output","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Function","Interface","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Motor Type - AC, DC","Motor Type - Stepper","Mounting Type","Operating Temperature","Output Configuration","Package / Case","Packaging","PartId","Part Status","Price","Series","Step Resolution","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Technology","Type","Value","Voltage - Load","Voltage - Supply"
General Purpose,=Part Number,Datasheet,https://www.allegromicro.com/~/media/Files/Datasheets/A4988-Datasheet.ashx,DigiKey Link,//digikey.com/product-detail/en/allegro-microsystems/A4988SETTR-T/620-1343-2-ND/2237991,"","","","","","","","","2A",IC MTR DRVR BIPOLAR 3-5.5V 28QFN,"28-VFQFN Exposed Pad",footprints/Leadless - QFN/PCB - LEADLESS - QFN - ALLEGRO QFN-28 ET.PCBLIB,"","",ALLEGRO QFN-28 ET,"","","Driver - Fully Integrated, Control and Power Stage",Logic,"2019-12-04 00:51:03.477000","0",Allegro MicroSystems,A4988SETTR-T,"1","",Bipolar,Surface Mount,-20°C ~ 150°C (TJ),Half Bridge (4),"28-VFQFN Exposed Pad",TapeAndReel,"1",Active,"1.60",-,"1, 1/2, 1/4, 1/8, 1/16",DigiKey,"620-1343-2-ND","","","","","","","","","","","28-QFN (5x5)",symbols/Driver - Motor/SCH - DRIVER - MOTOR - ALLEGRO A4988.SCHLIB,ALLEGRO A4988,DMOS,"","","8V ~ 35V","3V ~ 5.5V"
General Purpose,=Part Number,Datasheet,http://www.st.com/content/ccc/resource/technical/document/datasheet/a5/86/06/1c/fa/b2/43/db/CD00255075.pdf/files/CD00255075.pdf/_jcr_content/translations/en.CD00255075.pdf,DigiKey Link,//digikey.com/product-detail/en/stmicroelectronics/L6470HTR/497-10812-2-ND/2469142,"","","","","","","","","3A",IC MTR DRV BIPLR 3.3/5V 28HTSSOP,"28-TSSOP (0.173, 4.40mm Width) Exposed Pad",footprints/Leaded - SOP/PCB - LEADED - SOP - ST HTSSOP-28.PCBLIB,"","",ST HTSSOP-28,"","","Driver - Fully Integrated, Control and Power Stage",SPI,"2019-12-04 00:54:36.963000","0",STMicroelectronics,L6470HTR,"1","",Bipolar,Surface Mount,-40°C ~ 150°C (TJ),Half Bridge (4),"28-TSSOP (0.173, 4.40mm Width) Exposed Pad",TapeAndReel,"2",Active,"3.25",STSPIN L64,"1 ~ 1/128",DigiKey,"497-10812-2-ND","","","","","","","","","","","28-HTSSOP",symbols/Driver - Motor/SCH - DRIVER - MOTOR - ST L6470 28PIN.SCHLIB,ST L6470 28PIN,DMOS,"","","8V ~ 45V","3.3V, 5V"
General Purpose,=Part Number,Datasheet,http://www.st.com/content/ccc/resource/technical/document/datasheet/a5/86/06/1c/fa/b2/43/db/CD00255075.pdf/files/CD00255075.pdf/_jcr_content/translations/en.CD00255075.pdf,DigiKey Link,//digikey.com/product-detail/en/stmicroelectronics/L6470PDTR/497-16432-2-ND/4357455,"","","","","","","","","3A",IC MTR DRV BIPLR 3.3V/5V 36PWRSO,"36-BSSOP (0.433, 11.00mm Width) Exposed Pad",footprints/Leaded - Misc/PCB - LEADED - MISC - ST POWERSO-36.PCBLIB,"","",ST POWERSO-36,"","","Driver - Fully Integrated, Control and Power Stage",SPI,"2019-12-04 00:55:28.977000","0",STMicroelectronics,L6470PDTR,"1","",Bipolar,Surface Mount,-40°C ~ 150°C (TJ),Half Bridge (4),"36-BSSOP (0.433, 11.00mm Width) Exposed Pad",TapeAndReel,"3",Active,"5.01",STSPIN L64,"1 ~ 1/128",DigiKey,"497-16432-2-ND","","","","","","","","","","",PowerSO-36,symbols/Driver - Motor/SCH - DRIVER - MOTOR - ST L6470 36PIN.SCHLIB,ST L6470 36PIN,DMOS,"","","8V ~ 45V","3.3V, 5V"
General Purpose,=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fdrv8301,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/DRV8301DCAR/296-29433-2-ND/2743166,"","","","","","","","","",IC MOTOR DRIVER 6V-60V 56HTSSOP,"56-TFSOP (0.240, 6.10mm Width) Exposed Pad",footprints/Leaded - SOP/PCB - LEADED - SOP - TI HTSSOP-56 DCA.PCBLIB,"","",TI HTSSOP-56 DCA,"","","Controller - Commutation, Direction Management",SPI,"2019-12-04 00:58:03.623000","0",Texas Instruments,DRV8301DCAR,"1",Brushless DC (BLDC),"",Surface Mount,-40°C ~ 125°C (TA),Pre-Driver - Half Bridge (3),"56-TFSOP (0.240, 6.10mm Width) Exposed Pad",TapeAndReel,"4",Active,"2.82",-,"",DigiKey,"296-29433-2-ND","","","","","","","","","","","56-HTSSOP",symbols/Driver - Motor/SCH - DRIVER - MOTOR - TI DRV8301DCAR.SCHLIB,TI DRV8301DCAR,Power MOSFET,"","","","6V ~ 60V"
General Purpose,=Part Number,Datasheet,https://www.allegromicro.com/~/media/Files/Datasheets/A4982-Datasheet.ashx,DigiKey Link,//digikey.com/product-detail/en/allegro-microsystems/A4982SETTR-T/620-1340-2-ND/2237987,"","","","","","","","","2A",IC MTR DRVR BIPOLAR 3-5.5V 32QFN,"32-VFQFN Exposed Pad",footprints/Leadless - QFN/PCB - LEADLESS - QFN - ALLEGRO QFN-32 ET.PCBLIB,"","",ALLEGRO QFN-32 ET,"","","Driver - Fully Integrated, Control and Power Stage",Logic,"2019-12-04 00:58:30.240000","0",Allegro MicroSystems,A4982SETTR-T,"1","",Bipolar,Surface Mount,-20°C ~ 150°C (TJ),Half Bridge (4),"32-VFQFN Exposed Pad",TapeAndReel,"5",Active,"1.68",-,"1, 1/2, 1/4, 1/16",DigiKey,"620-1340-2-ND","","","","","","","","","","","32-QFN (5x5)",symbols/Driver - Motor/SCH - DRIVER - MOTOR - ALLEGRO A4982 32PIN.SCHLIB,ALLEGRO A4982 32PIN,DMOS,"","","8V ~ 35V","3V ~ 5.5V"
General Purpose,=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fdrv8302,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/DRV8302DCAR/296-29544-1-ND/2753591,"","","","","","","","","",IC MOTOR DRIVER 8V-60V 56HTSSOP,"56-TFSOP (0.240, 6.10mm Width) Exposed Pad",footprints/Leaded - SOP/PCB - LEADED - SOP - TI HTSSOP-56 DCA.PCBLIB,"","",TI HTSSOP-56 DCA,"","","Controller - Commutation, Direction Management",Parallel,"2019-12-04 01:00:33.470000","0",Texas Instruments,DRV8302DCAR,"1",Brushless DC (BLDC),"",Surface Mount,-40°C ~ 125°C (TA),Pre-Driver - Half Bridge (3),"56-TFSOP (0.240, 6.10mm Width) Exposed Pad",CutTape,"6",Active,"6.00",-,"",DigiKey,"296-29544-1-ND","","","","","","","","","","","56-HTSSOP",symbols/Driver - Motor/SCH - DRIVER - MOTOR - TI DRV8302.SCHLIB,TI DRV8302,Power MOSFET,"","","","8V ~ 60V"
General Purpose,=Part Number,Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fdrv8818,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/DRV8818PWPR/296-31642-2-ND/3045978,"","","","","","","","","2.5A",IC MTR DRV BIPLR 3-5.5V 28HTSSOP,"28-PowerTSSOP (0.173, 4.40mm Width)",footprints/Leaded - SOP/PCB - LEADED - SOP - TI HTSSOP-28 PWP.PCBLIB,"","",TI HTSSOP-28 PWP,"","","Driver - Fully Integrated, Control and Power Stage",Logic,"2019-12-04 01:02:25.860000","0",Texas Instruments,DRV8818PWPR,"1","",Bipolar,Surface Mount,-40°C ~ 150°C (TJ),Half Bridge (4),"28-PowerTSSOP (0.173, 4.40mm Width)",TapeAndReel,"7",Active,"1.75",-,"1, 1/2, 1/4, 1/8",DigiKey,"296-31642-2-ND","","","","","","","","","","","28-HTSSOP",symbols/Driver - Motor/SCH - DRIVER - MOTOR - TI DRV8818.SCHLIB,TI DRV8818,Power MOSFET,"","","8V ~ 35V","3V ~ 5.5V"
General Purpose,=Part Number,Datasheet,https://www.allegromicro.com/~/media/Files/Datasheets/A4954-Datasheet.ashx,DigiKey Link,//digikey.com/product-detail/en/allegro-microsystems/A4954ELPTR-T/620-1384-2-ND/2509910,"","","","","","","","","2A",IC MOTOR DRIVER 8V-40V 16TSSOP,"16-TSSOP (0.173, 4.40mm Width) Exposed Pad",footprints/Leaded - SOP/PCB - LEADED - SOP - ALLEGRO TSSOP-16EP LP.PCBLIB,"","",ALLEGRO TSSOP-16EP LP,"","","Driver - Fully Integrated, Control and Power Stage",Parallel,"2019-12-04 01:03:30.440000","0",Allegro MicroSystems,A4954ELPTR-T,"1",Brushed DC,"",Surface Mount,-40°C ~ 150°C (TJ),Half Bridge (4),"16-TSSOP (0.173, 4.40mm Width) Exposed Pad",TapeAndReel,"8",Active,"1.38",-,"",DigiKey,"620-1384-2-ND","","","","","","","","","","","16-TSSOP-EP",symbols/Driver - Motor/SCH - DRIVER - MOTOR - ALLEGRO A4954.SCHLIB,ALLEGRO A4954,DMOS,"","","8V ~ 40V","8V ~ 40V"
General Purpose,=Part Number,Datasheet,https://www.trinamic.com/fileadmin/assets/Products/ICs_Documents/TMC2660_datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/trinamic-motion-control-gmbh/TMC2660-PA-T/1460-1062-2-ND/4500215,"","","","","","","","","2.8A",IC MTR DRV BIPOLAR 3.3-5V 44PQFP,"44-LQFP",footprints/Leadless - LQFP/PCB - LEADLESS - LQFP - TRINAMIC LQFP-44 10X10MM.PcbLib,"","",TRINAMIC LQFP-44 10X10MM,"","","Driver - Fully Integrated, Control and Power Stage","SPI, Step/Direction","2019-12-04 01:10:17.943000","0",Trinamic Motion Control GmbH,TMC2660-PA-T,"1","",Bipolar,Surface Mount,-40°C ~ 125°C (TJ),Half Bridge (4),"44-LQFP",TapeAndReel,"9",Active,"3.11",-,"1 ~ 1/256",DigiKey,"1460-1062-2-ND","","","","","","","","","","","44-PQFP",symbols/Driver - Motor/SCH - DRIVER - MOTOR - TRINAMIC TMC2660-PA-T.SCHLIB,TRINAMIC TMC2660-PA-T,Power MOSFET,"","","9V ~ 30V","3.3V ~ 5V"
General Purpose,=Part Number,Datasheet,https://www.allegromicro.com/~/media/Files/Datasheets/A4982-Datasheet.ashx,DigiKey Link,//digikey.com/product-detail/en/allegro-microsystems/A4982SLPTR-T/620-1352-2-ND/2295512,"","","","","","","","","2A",IC MTR DRV BIPOLR 3-5.5V 24TSSOP,"24-TSSOP (0.173, 4.40mm Width) Exposed Pad",footprints/Leaded - SOP/PCB - LEADED - SOP - ALLEGRO TSSOP-24 LP.PCBLIB,"","",ALLEGRO TSSOP-24 LP,"","","Driver - Fully Integrated, Control and Power Stage",Logic,"2019-12-12 08:08:45.407000","0",Allegro MicroSystems,A4982SLPTR-T,"1","",Bipolar,Surface Mount,-20°C ~ 150°C (TJ),Half Bridge (4),"24-TSSOP (0.173, 4.40mm Width) Exposed Pad",TapeAndReel,"10",Active,"1.69",-,"1, 1/2, 1/4, 1/16",DigiKey,"620-1352-2-ND","","","","","","","","","","","24-TSSOP-EP",symbols/Driver - Motor/SCH - DRIVER - MOTOR - ALLEGRO A4982 24PIN.SCHLIB,ALLEGRO A4982 24PIN,DMOS,"","","8V ~ 35V","3V ~ 5.5V"
"Automation Control, Industrial, Medical",=Part Number,Datasheet,https://www.trinamic.com/fileadmin/assets/Products/ICs_Documents/TMC5160A_Datasheet_Rev1.13.pdf,DigiKey Link,http://digikey.com/product-detail/en/trinamic-motion-control-gmbh/TMC5160A-TA-T/1460-TMC5160A-TA-TCT-ND/11306900,"","","","","","","","","20A",IC MTR DRVR BIPOLAR 8-60V 48TQFP,"48-TQFP Exposed Pad",footprints/Leadless - LQFP/PCB - LEADLESS - LQFP - TRINAMIC TQFP-48 EP 7x7.PcbLib,"","",TRINAMIC TQFP-48 EP 7x7,"","","Driver - Fully Integrated, Control and Power Stage","SPI, Step/Direction","2020-05-24 23:04:10.090000",Active,Trinamic Motion Control GmbH,TMC5160A-TA-T,"1",Universal,Bipolar,Surface Mount,-40°C ~ 125°C (TJ),Half Bridge (4),"48-TQFP Exposed Pad",TapeAndReel,"11",Active,"3.11",-,"1 ~ 1/256",DigiKey,"1460-TMC5160A-TA-TCT-ND","","","","","","","","","","","48-TQFP-EP (7x7)",symbols/Driver - Motor/SCH - DRIVER - MOTOR - TRINAMIC TMC5160A-TA-T.SCHLIB,TRINAMIC TMC5160A-TA-T,Power MOSFET,"","","10V ~ 55V","10V ~ 50V"
"Automation Control, Industrial, Medical",=Part Number,Datasheet,https://www.trinamic.com/fileadmin/assets/Products/ICs_Documents/TMC5160A_Datasheet_Rev1.13.pdf,DigiKey Link,http://digikey.com/product-detail/en/trinamic-motion-control-gmbh/TMC5160A-WA/1460-TMC5160A-WA-ND/11306894,"","","","","","","","","20A",IC MTR DRVR BIPOLAR 8-60V 48QFN,"47-VFQFN Exposed Pad",footprints/Leadless - QFN/PCB - LEADLESS - QFN - TRINAMIC QFN-47 WA 8x8.PCBLIB,"","",TRINAMIC QFN-47 WA 8x8,"","","Driver - Fully Integrated, Control and Power Stage","SPI, Step/Direction","2020-05-24 23:05:08.220000",Active,Trinamic Motion Control GmbH,TMC5160A-WA,"1040",Universal,Bipolar,"Surface Mount, Wettable Flank",-40°C ~ 125°C (TJ),Half Bridge (4),"47-VFQFN Exposed Pad",Tray,"12",Active,"4.50",-,"1 ~ 1/256",DigiKey,"1460-TMC5160A-WA-ND","","","","","","","","","","","56-QFN (8x8)",symbols/Driver - Motor/SCH - DRIVER - MOTOR - TRINAMIC TMC5160A-WA.SCHLIB,TRINAMIC TMC5160A-WA,Power MOSFET,"","","10V ~ 55V","10V ~ 50V"
